계산일자,통화코드,시장평균환율
2020-01-02,CNY,165.8
2020-01-02,EUR,1296.43
2020-01-02,JPY,1060.14
2020-01-02,USD,1157.8
2020-01-03,CNY,166.06
2020-01-03,EUR,1297.24
2020-01-03,JPY,1064.06
2020-01-03,USD,1156.9
2020-01-06,CNY,166.88
2020-01-06,EUR,1298.51
2020-01-06,JPY,1073.94
2020-01-06,USD,1162.7
2020-01-07,CNY,167.76
2020-01-07,EUR,1305.2
2020-01-07,JPY,1082.18
2020-01-07,USD,1169.6
2020-01-08,CNY,167.46
2020-01-08,EUR,1304.22
2020-01-08,JPY,1074.58
2020-01-08,USD,1165.3
2020-01-09,CNY,168.9
2020-01-09,EUR,1309.51
2020-01-09,JPY,1085.38
2020-01-09,USD,1174.1
2020-01-10,CNY,167.48
2020-01-10,EUR,1289.56
2020-01-10,JPY,1062.36
2020-01-10,USD,1160
2020-01-13,CNY,167.62
2020-01-13,EUR,1289.92
2020-01-13,JPY,1060.19
2020-01-13,USD,1161.1
2020-01-14,CNY,167.38
2020-01-14,EUR,1285.62
2020-01-14,JPY,1054.54
2020-01-14,USD,1155.7
2020-01-15,CNY,167.71
2020-01-15,EUR,1284.24
2020-01-15,JPY,1047.52
2020-01-15,USD,1153.1
2020-01-16,CNY,168.04
2020-01-16,EUR,1290.12
2020-01-16,JPY,1054.48
2020-01-16,USD,1158.8
2020-01-17,CNY,168.36
2020-01-17,EUR,1293.2
2020-01-17,JPY,1054.76
2020-01-17,USD,1159.6
2020-01-20,CNY,168.58
2020-01-20,EUR,1290.47
2020-01-20,JPY,1051.49
2020-01-20,USD,1158.8
2020-01-21,CNY,168.98
2020-01-21,EUR,1285.97
2020-01-21,JPY,1051.75
2020-01-21,USD,1158.8
2020-01-22,CNY,169.13
2020-01-22,EUR,1292.6
2020-01-22,JPY,1059.08
2020-01-22,USD,1164.7
2020-01-23,CNY,168.73
2020-01-23,EUR,1291.36
2020-01-23,JPY,1059.54
2020-01-23,USD,1165.1
2020-01-28,CNY,168.68
2020-01-28,EUR,1294.13
2020-01-28,JPY,1064.48
2020-01-28,USD,1167.2
2020-01-29,CNY,168.61
2020-01-29,EUR,1296.74
2020-01-29,JPY,1079.82
2020-01-29,USD,1176.7
2020-01-30,CNY,168.95
2020-01-30,EUR,1295.57
2020-01-30,JPY,1077.19
2020-01-30,USD,1176
2020-01-31,CNY,169.5
2020-01-31,EUR,1303.17
2020-01-31,JPY,1086.09
2020-01-31,USD,1183.5
2020-02-03,CNY,170.11
2020-02-03,EUR,1309.51
2020-02-03,JPY,1089.01
2020-02-03,USD,1187.8
2020-02-04,CNY,170.81
2020-02-04,EUR,1325.54
2020-02-04,JPY,1102.29
2020-02-04,USD,1196
2020-02-05,CNY,169.76
2020-02-05,EUR,1315.35
2020-02-05,JPY,1094.25
2020-02-05,USD,1189.4
2020-02-06,CNY,169.74
2020-02-06,EUR,1311.84
2020-02-06,JPY,1085.83
2020-02-06,USD,1188.5
2020-02-07,CNY,169.57
2020-02-07,EUR,1299.74
2020-02-07,JPY,1075.39
2020-02-07,USD,1181.4
2020-02-10,CNY,170.03
2020-02-10,EUR,1303.69
2020-02-10,JPY,1080.1
2020-02-10,USD,1187.2
2020-02-11,CNY,170.01
2020-02-11,EUR,1303.28
